County,<1.3,1.30-1.84,Total pop
"Alpine County, CA",4.85%,3.88%,206
"Sierra County, CA",2.84%,1.14%,703
"Modoc County, CA",10.69%,8.51%,2114
"Mono County, CA",5.18%,4.69%,2452
"Trinity County, CA",12.98%,4.43%,3428
"Inyo County, CA",7.53%,4.23%,4354
"Mariposa County, CA",7.25%,4.27%,4803
"Plumas County, CA",7.85%,4.27%,4869
"Colusa County, CA",13.69%,8.72%,5309
"Del Norte County, CA",17.37%,5.42%,5735
"Lassen County, CA",8.58%,3.81%,6086
"Glenn County, CA",15.38%,7.70%,7193
"Amador County, CA",7.17%,3.24%,9472
"Kings County, CA",19.59%,9.36%,32205
"Merced County, CA",23.65%,9.10%,60461
"Tulare County, CA",24.78%,8.68%,105173
"Monterey County, CA",14.61%,8.54%,91206
"Kern County, CA",20.75%,8.30%,198056
"Stanislaus County, CA",15.85%,8.10%,127189
"Sutter County, CA",15.70%,8.00%,23496
"Lake County, CA",16.36%,7.52%,16029
"Fresno County, CA",22.46%,7.44%,219884
"Yuba County, CA",16.73%,7.32%,18363
"San Bernardino County, CA",16.19%,7.13%,473703
"Madera County, CA",20.40%,7.13%,34547
"San Joaquin County, CA",15.48%,7.12%,166555
"Imperial County, CA",20.63%,7.04%,35069
"Humboldt County, CA",12.93%,7.01%,30401
"Tehama County, CA",15.19%,6.85%,16214
"Riverside County, CA",12.94%,6.75%,522332
"Santa Barbara County, CA",10.76%,6.70%,93819
"San Benito County, CA",9.29%,6.51%,14008
"Los Angeles County, CA",13.97%,6.48%,2203922
"Sacramento County, CA",13.11%,5.95%,351693
"Mendocino County, CA",16.09%,5.93%,20811
"Napa County, CA",6.13%,5.91%,33746
"Yolo County, CA",10.37%,5.85%,45369
"Siskiyou County, CA",13.39%,5.81%,11774
"Shasta County, CA",11.84%,5.76%,45292
"San Diego County, CA",10.00%,5.56%,747245
"Butte County, CA",12.27%,5.39%,51488
"Solano County, CA",9.45%,5.04%,106136
"Sonoma County, CA",7.15%,4.78%,120389
"Orange County, CA",8.90%,4.67%,739052
"San Luis Obispo County, CA",6.90%,4.55%,66465
"Ventura County, CA",8.35%,4.55%,198226
"Santa Cruz County, CA",8.72%,4.23%,60178
"Alameda County, CA",7.66%,4.06%,379405
"Tuolumne County, CA",7.30%,4.03%,14269
"Nevada County, CA",6.57%,3.99%,25858
"Contra Costa County, CA",7.55%,3.76%,279729
"Calaveras County, CA",7.17%,3.58%,11896
"Santa Clara County, CA",5.70%,3.29%,453108
"San Mateo County, CA",4.53%,3.14%,181969
"El Dorado County, CA",5.58%,2.88%,48175
"San Francisco County, CA",5.23%,2.87%,168738
"Placer County, CA",4.80%,2.87%,97335
"Marin County, CA",4.64%,2.17%,64821
