County,Revenue,Percentage
Los Angeles,23422437171,0.3003
Santa Clara,5625107619,0.0721
Orange,4412670251,0.0566
San Diego,4389789349,0.0563
Riverside,4343263894,0.0557
San Bernardino,4141319948,0.0531
Sacramento,3355290000,0.043
Contra Costa,3072465406,0.0394
Alameda,2949248612,0.0378
Ventura,1900770086,0.0244
Kern,1834349504,0.0235
San Mateo,1732198692,0.0222
Fresno,1683934000,0.0216
San Joaquin,1439251199,0.0185
Monterey,1085600914,0.0139
Sonoma,1070620681,0.0137
Stanislaus,1039155522,0.0133
Santa Barbara,880935692,0.0113
Tulare,833047726,0.0107
Solano,713850543,0.0092
Placer,658575612,0.0084
San Luis Obispo,604606437,0.0078
Santa Cruz,566813218,0.0073
Marin,554795904,0.0071
Merced,520964183,0.0067
Imperial,438301291,0.0056
Butte,405180116,0.0052
Napa,370217770,0.0047
Yolo,329855079,0.0042
Shasta,325291176,0.0042
El Dorado,320597586,0.0041
Humboldt,307219596,0.0039
Kings,268613402,0.0034
Madera,244396339,0.0031
Mendocino,235560312,0.003
Yuba,171928957,0.0022
Nevada,163862949,0.0021
Sutter,161056973,0.0021
Tuolumne,146765324,0.0019
Lake,141621306,0.0018
Tehama,129744232,0.0017
Calaveras,103847016,0.0013
Siskiyou,96104592,0.0012
San Benito,79747356,0.001
Inyo,75895392,0.001
Glenn,74713016,0.001
Amador,73472682,0.0009
Mariposa,71395521,0.0009
Del Norte,68538964,0.0009
Lassen,64789003,0.0008
Mono,58065258,0.0007
Plumas,56460600,0.0007
Colusa,56417543,0.0007
Trinity,52351633,0.0007
Modoc,30863325,0.0004
Sierra,19247389,0.0002
Alpine,18935581,0.0002
